Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"4.1.3.1","0.92592592592593","0.13","0.0007","0.1404","0.0061","0.007429","0.01377","0.01037","8.547E-5","0.0001125"
"4.4.1.17","0.92592592592593","0.13","0.0012","0.1404","0.008","0.006414","0.01455","0.01044","0.0002594","0.0003107"
"2.7.1.33","0.9313795568263","0.1303","0.0006","0.1399","0.0065","0.006036","0.01283","0.009643","0.0001806","0.0002204"
"3.2.1.25","0.93808495320374","0.1303","0.0016","0.1389","0.0141","0.0009292","0.0154","0.008671","0.01227","0.01319"
"3.4.11.9","0.94057971014493","0.1298","0.0013","0.138","0.0076","0.004957","0.0126","0.008243","9.252E-6","1.432E-5"
"2.2.1.2","0.95729013254786","0.13","0.0009","0.1358","0.0067","0.002679","0.009157","0.005764","0.001647","0.001827"
"2.5.1.6","0.9594395280236","0.1301","0.0006","0.1356","0.0078","0.001414","0.009528","0.005557","0.01585","0.01697"
"1.6.5.3","0.96521095484826","0.1304","0.0014","0.1351","0.0089","-0.0001081","0.009021","0.004664","0.01396","0.01498"
"2.1.2.10","0.96718866517524","0.1297","0.0011","0.1341","0.0075","0.0006282","0.008543","0.004414","0.008242","0.00893"
"2.3.2.2","0.97595792637115","0.1299","0.0007","0.1331","0.0101","-0.002614","0.007757","0.003278","0.01077","0.0116"
"3.1.4.12","0.98561695685087","0.1302","0.001","0.1321","0.0093","-0.002507","0.007164","0.002","0.9451","0.9461"
"2.7.8.8","0.98260211800303","0.1299","0.0008","0.1322","0.0078","-0.001571","0.006501","0.002278","0.03656","0.03886"
"4.1.3.27","0.98334595003785","0.1299","0.0007","0.1321","0.008","-0.001829","0.006236","0.002236","0.2413","0.2494"
"6.3.5.5","0.9773413897281","0.1294","0.0016","0.1324","0.0072","-0.0007362","0.006993","0.002936","0.08488","0.08916"
"3.4.24.71","0.99312452253629","0.13","0.0006","0.1309","0.0085","-0.003065","0.005786","0.0009785","0.9085","0.9116"
"4.2.1.3","0.99234303215926","0.1296","0.0007","0.1306","0.0092","-0.003801","0.005364","0.0008999","0.5053","0.5127"
"3.1.11.1","0.99846272098386","0.1299","0.0009","0.1301","0.01","-0.005621","0.00505","0.0001856","0.3012","0.3084"
"2.4.1.15","1.0015408320493","0.13","0.0007","0.1298","0.0091","-0.005407","0.003686","-0.0002287","0.3462","0.3537"
"1.4.3.1","1.0054137664346","0.13","0.0009","0.1293","0.0092","-0.005115","0.003915","-0.0006287","0.09352","0.09812"
"5.1.99.4","1.008560311284","0.1296","0.0006","0.1285","0.009","-0.005935","0.00302","-0.001086","0.4763","0.4845"
"2.5.1.9","1.0109289617486","0.1295","0.0007","0.1281","0.0093","-0.007457","0.003","-0.001364","0.9817","0.9817"
