Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-3941","1.3565557729941","0.0035","0.0011","0.0026","0.0004","-0.001509","-0.0002771","-0.0009104","0.00943","0.01754"
"FUC-RHAMCAT-PWY","4.5622166246851","0.0045","0.0024","0.001","0.0008","-0.004684","-0.002177","-0.003535","0.0001034","0.0003731"
"AEROBACTINSYN-PWY","2.8204577968526","0.0039","0.0028","0.0014","0.0015","-0.004196","-0.0009975","-0.002545","0.003526","0.007437"
"SUCSYN-PWY","2.4775016789792","0.0037","0.0041","0.0015","0.001","-0.004714","-0.0004251","-0.002199","0.03263","0.05055"
"GOLPDLCAT-PWY","6.0043787629995","0.0044","0.0028","0.0007","0.0005","-0.005203","-0.002352","-0.003657","1.144E-5","0.0001135"
"PWY-3801","0.38457269700333","0.0014","0.0009","0.0036","0.0024","0.0008936","0.003493","0.002218","0.005439","0.01058"
"P241-PWY","0.96163166397415","0.0024","0.0014","0.0025","0.0017","-0.001043","0.001283","9.547E-5","0.9451","0.9495"
"PWY-7210","1.9191408717625","0.003","0.0021","0.0016","0.0025","-0.002966","0.0004245","-0.001455","0.002247","0.005037"
"CHLOROPHYLL-SYN","9.0816326530612","0.0041","0.0037","0.0005","0.0005","-0.005628","-0.001926","-0.003643","7.053E-5","0.0002862"
"PWY-6572","3.2621199671323","0.0032","0.0019","0.001","0.0008","-0.003213","-0.001096","-0.002203","0.0007324","0.00188"
"PWY-7391","3.0725692338791","0.003","0.0007","0.001","0.0005","-0.002491","-0.001621","-0.00205","1.412E-5","0.0001135"
"DHGLUCONATE-PYR-CAT-PWY","0.40113798008535","0.0011","0.0008","0.0028","0.0026","0.0003745","0.003058","0.001684","0.2413","0.2946"
"METH-ACETATE-PWY","0.34453752181501","0.001","0.001","0.0029","0.0013","0.001049","0.002638","0.001878","0.0001806","0.0005657"
"CRNFORCAT-PWY","4.3119521358008","0.0031","0.0047","0.0007","0.0009","-0.005112","-0.0006681","-0.00238","0.0003099","0.0008801"
"PWY-6919","6.7019251110641","0.0032","0.0014","0.0005","0.0003","-0.003471","-0.001998","-0.002695","7.468E-6","0.0001135"
"PWY0-41","6.6688697951091","0.003","0.0013","0.0005","0.0003","-0.003253","-0.001992","-0.002573","7.468E-6","0.0001135"
"PWY-5088","2.3778664007976","0.0024","0.0019","0.001","0.0008","-0.002543","-0.0004326","-0.001383","0.01585","0.02659"
"PWY-7198","1.9197475202885","0.0021","0.0015","0.0011","0.0017","-0.002079","0.0001733","-0.00102","0.002247","0.005037"
"PWY-6174","3.4392129304287","0.0024","0.0007","0.0007","0.0003","-0.002139","-0.001373","-0.001736","7.468E-6","0.0001135"
"PWY-6731","4.4137429558262","0.0024","0.0015","0.0006","0.0006","-0.002696","-0.001114","-0.001878","0.0001034","0.0003731"
"PWY-5677","2.6144527398225","0.0019","0.0007","0.0007","0.0006","-0.001582","-0.0006621","-0.001146","0.001019","0.002495"
"LIPASYN-PWY","3.5037010927036","0.002","0.0008","0.0006","0.0003","-0.001904","-0.001012","-0.00142","1.144E-5","0.0001135"
"GLYCOL-GLYOXDEG-PWY","4.5266471778727","0.002","0.0014","0.0004","0.0005","-0.002324","-0.0008457","-0.001568","0.0007324","0.00188"
"KDO-NAGLIPASYN-PWY","15.25120440468","0.0022","0.0032","0.0001","0.0003","-0.0039","-0.0008484","-0.00207","0.0002166","0.0006499"
