Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph","","0","0","0.0027","0.0081","0","0.007262","0.002723","0.07946","0.1093"
"Fungal Parasite-Wood Saprotroph","0.071428571428571","0.0002","0.0007","0.0025","0.0039","0.0005447","0.004539","0.00236","0.05866","0.08901"
"Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","","0","0","0.0016","0.0047","0","0.004357","0.001634","0.07932","0.1093"
"Clavicipitaceous Endophyte-Plant Pathogen","0.125","0.0002","0.0007","0.0015","0.0036","-0.0001815","0.00345","0.001271","0.2736","0.3168"
"Endophyte-Plant Pathogen","0.16666666666667","0.0002","0.0007","0.0011","0.0024","-0.0001815","0.002179","0.0009077","0.2736","0.3168"
"Undefined Saprotroph-Wood Saprotroph","0.19997796386073","0.0002","0.0007","0.0009","0.0024","-0.000363","0.002178","0.0007262","0.5211","0.5332"
"Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen-Undefined Saprotroph","","0","0","0.0009","0.0034","0","0.002724","0.0009079","0.3531","0.3789"
"Undefined Saprotroph-Undefined Symbiotroph","","0.0009","0.0027","0","0","-0.002361","0","-0.0009079","0.1649","0.2032"
"Animal Parasite-Fungal Parasite","","0","0","0.0007","0.0027","0","0.002179","0.0007264","0.3531","0.3789"
"Litter Saprotroph-Soil Saprotroph-Wood Saprotroph","","0","0","0.0007","0.0021","0","0.001997","0.0007261","0.1649","0.2032"
"Dung Saprotroph-Endophyte-Undefined Saprotroph","1","0.0004","0.0009","0.0004","0.0014","-0.000726","0.0009078","8.431E-8","0.6378","0.6378"
"Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph","","0","0","0.0005","0.0015","0","0.001452","0.0005446","0.1649","0.2032"
"Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph","","0","0","0.0005","0.002","0","0.001634","0.0005446","0.3531","0.3789"
"Endophyte-Fungal Parasite-Plant Pathogen","","0","0","0.0005","0.002","0","0.001634","0.0005446","0.3531","0.3789"
"Endophyte-Wood Saprotroph-Animal Pathogen","","0","0","0.0004","0.0014","0","0.001089","0.0003631","0.3531","0.3789"
