Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"1.3.1.34","0.006654","0.02254","0.0171","0.0011","0.0127","0.0023","0.0175","0.0019","0.0112","0.0014","0.0176","0.0023","0.0126","0.001","0.0166","0.0036","0.0104","0.0003"
"1.1.1.336","0.004817","0.01997","0.0183","0.0022","0.0128","0.0039","0.0187","0.0032","0.0097","0.0012","0.0204","0.0031","0.009","0.0007","0.0167","0.0044","0.0095","0.0005"
"4.2.1.55","0.02525","0.04851","0.0133","0.0003","0.0177","0.004","0.0141","0.0032","0.0156","0.0016","0.0104","0.002","0.0144","0.0015","0.0127","0.0036","0.0161","0.0005"
"4.1.1.50","0.004416","0.01956","0.0204","0.0013","0.0118","0.0065","0.0151","0.0018","0.0072","0.001","0.0208","0.005","0.0111","0.0005","0.0149","0.0011","0.0112","0.0004"
"3.5.4.28","0.004922","0.02017","0.0203","0.0063","0.0124","0.0107","0.0211","0.006","0.0059","0.0018","0.0232","0.0042","0.0104","0.0018","0.011","0.001","0.0072","0.0001"
"3.5.4.31","0.004922","0.02017","0.0203","0.0063","0.0124","0.0107","0.0211","0.006","0.0059","0.0018","0.0232","0.0042","0.0104","0.0018","0.011","0.001","0.0072","0.0001"
"6.2.1.32","0.1357","0.1672","0.0132","0.0025","0.012","0.0034","0.0154","0.0021","0.0128","0.0008","0.0131","0.0032","0.0174","0.0024","0.0129","0.0024","0.0144","0.0005"
"4.3.2.3","0.04924","0.07698","0.0164","0.006","0.0132","0.0031","0.0132","0.0035","0.0116","0.0006","0.0096","0.0021","0.0149","0.0018","0.0196","0.0055","0.0126","0.0004"
"1.1.5.4","0.04006","0.06646","0.0166","0.0034","0.0127","0.0031","0.013","0.0021","0.0103","0.0028","0.0168","0.0043","0.0137","0.0011","0.015","0.0028","0.0117","0.0003"
"5.1.3.10","0.007206","0.02327","0.0119","0.0017","0.0133","0.0022","0.0138","0.0033","0.0145","0.0015","0.0105","0.0025","0.0175","0.0005","0.0117","0.0033","0.0155","0.0004"
"3.5.2.18","0.004309","0.01944","0.0105","0.0015","0.0153","0.0036","0.0128","0.0022","0.0154","0.0003","0.0094","0.0028","0.0175","0.0025","0.0093","0.0038","0.0182","0.0007"
"4.1.1.47","0.03203","0.05647","0.0123","0.0032","0.0114","0.0014","0.0139","0.0026","0.0125","0.0001","0.0109","0.0024","0.0171","0.0022","0.0144","0.002","0.0147","0.0006"
"1.2.1.28","0.002168","0.01834","0.0159","0.0022","0.0095","0.0023","0.0121","0.002","0.0091","0.0013","0.0176","0.0029","0.009","0.0007","0.0212","0.0097","0.0122","0.0001"
"1.4.1.23","0.002893","0.01834","0.015","0.0015","0.0098","0.0035","0.0137","0.0049","0.0069","0.0007","0.0197","0.0046","0.0082","0.0006","0.0218","0.0135","0.0112","0.0003"
