"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Pseudoanungitea,0.01107,0.01609,0,0,0.007901,0.02972,0.003812,0.01979,0.01107
g__Lachnum,0.01035,0.01324,0.0005446,0.001471,0.01006,0.03613,0.003449,0.01743,0.009803
g__Rachicladosporium,0.01071,0.03648,0,0,0.03785,0.08963,0.0001815,0.03085,0.01071
g__Phomatospora,0.01071,0.02573,0,0,0.03792,0.08963,0.000363,0.02596,0.01071
g__Boletus,0.0009076,0.003396,0.009621,0.03527,0.5782,0.6165,-0.02831,0.002179,-0.008709
g__Thelonectria,0.01035,0.02137,0,0,0.003384,0.01798,0.002179,0.02233,0.01035
g__Gonytrichum,0.01017,0.0359,0,0,0.1649,0.2522,0,0.02941,0.01017
g__Rhodosporidiobolus,0.009439,0.01028,0.000363,0.0009228,0.009213,0.03376,0.003993,0.01452,0.009076
g__Nemania,0.008895,0.006205,0.0007261,0.001553,2.65E-5,0.0006891,0.005083,0.01162,0.00817
g__Sclerostagonospora,0.009621,0.009673,0,0,0.0005332,0.004934,0.005265,0.01489,0.009621
g__Clonostachys,0.00835,0.008541,0.001271,0.00193,0.00871,0.03226,0.003268,0.0118,0.00708
g__Cosmospora,0.009076,0.01005,0.0005446,0.002038,0.00224,0.01456,0.003631,0.01361,0.008532
g__unclassified_f__Boletaceae,0.008531,0.02137,0.0009076,0.00236,0.582,0.6194,-0.0009076,0.01942,0.007624
g__Phialophora,0.007987,0.01628,0.001271,0.004079,0.09405,0.1808,-0.0001825,0.01634,0.006716
g__Neocosmospora,0.008713,0.0326,0.0005446,0.001471,0.638,0.6712,-0.001089,0.02614,0.00817
g__Bovista,0.00835,0.02694,0.0009076,0.003396,0.09573,0.1834,-0.001453,0.02306,0.007446
g__unclassified_f__Sclerotiniaceae,0.00835,0.02141,0.0009076,0.003396,0.1585,0.2522,-0.0007265,0.0196,0.007442
g__Eleutheromyces,0.008895,0.02059,0,0,0.03792,0.08963,0.0007262,0.02178,0.008895
g__Phaeosphaeriopsis,0.007987,0.01423,0.0007261,0.002098,0.01545,0.05177,0.001271,0.01543,0.007261
g__Entrophospora,0.007987,0.01935,0.0005446,0.001082,0.05964,0.1357,0.0007265,0.01924,0.007443
g__Leuconeurospora,0.00835,0.01684,0.0001815,0.0006792,0.05893,0.1346,0.0003632,0.01815,0.008169
g__Pectenia,0.007805,0.02148,0.0007261,0.001553,0.2601,0.3859,8.045E-8,0.01924,0.00708
g__Xenasmatella,0.007442,0.02497,0.0009076,0.002749,0.387,0.4235,-0.001634,0.02051,0.006535
g__unclassified_f__Pseudeurotiaceae,0.007805,0.01294,0.0005446,0.001471,0.1469,0.2522,0.001271,0.01452,0.007261
g__Leucoagaricus,0.008168,0.03056,0,0,0.3531,0.3895,0,0.02451,0.008171
g__Minutisphaera,0.005627,0.01435,0.00236,0.006182,0.2636,0.3895,-0.002905,0.01234,0.003267
g__unclassified_f__Stachybotryaceae,0.007987,0.02439,0,0,0.07946,0.155,0,0.02215,0.007987
g__Paxillus,0.000363,0.0009228,0.007624,0.02853,0.6378,0.6712,-0.02268,0.000726,-0.007258
g__Schizothecium,0.007624,0.01665,0.0001815,0.0006792,0.06315,0.1407,0.000363,0.01725,0.007443
g__unclassified_c__Lecanoromycetes,0.007624,0.005981,0.0001815,0.0006792,0.000145,0.00214,0.004539,0.01071,0.007444
g__Pezoloma,0.007079,0.01193,0.0007261,0.001553,0.07197,0.155,0.001089,0.01361,0.006354
g__Lasionectria,0.007261,0.01938,0.000363,0.001358,0.01792,0.05298,0.0005444,0.01797,0.006898
g__unclassified_f__Sordariaceae,0.00472,0.00845,0.002723,0.01019,0.02844,0.07763,-0.005082,0.008351,0.001997
g__Gymnoascus,0.007442,0.02785,0,0,0.3531,0.3895,0,0.02233,0.007443
g__Infundichalara,0.007442,0.01354,0,0,0.01759,0.05258,0.001452,0.0147,0.007442
g__Venturia,0.007261,0.02154,0,0,0.03785,0.08963,0.0003631,0.0196,0.007261
g__Auxarthron,0.007261,0.02224,0,0,0.03792,0.08963,0.000363,0.02015,0.007261
g__Pseudorobillarda,0.00599,0.02169,0.001271,0.003268,1,1,-0.002361,0.01743,0.004719
g__Cheilymenia,0.007079,0.01032,0.0001815,0.0006792,0.01032,0.03618,0.002542,0.01289,0.006899
g__Cordana,0.007079,0.02649,0,0,0.3531,0.3895,0,0.02124,0.007079
